order_id,user_id,product_id,inventory_item_id,status,sale_price,shipping_cost,created_at,shipped_at,delivered_at,returned_at
8b20ddd3-6329-4d63-bf5c-f9969b2615ae,113a1847-65c2-4016-a504-eeaddaed1a16,7135021924435,41303039279187,shipped,65.0,5.99,2024-12-29 16:02:40.153963,2024-12-30 16:02:40.153963,,
5a824f37-987d-400d-9b2e-9fbe9fffd9bc,fdd571ac-2882-45ae-a7cb-6721a19d16c8,7171417768019,41427591823443,complete,65.0,5.99,2024-12-23 16:02:40.153963,2024-12-24 16:02:40.153963,2024-12-26 16:02:40.153963,
a8c6dc32-2d5f-411a-9452-cb0a62a8d91f,3e0b1aa8-34cd-4b15-8a77-faef0582e5a5,6789832998995,40047345565779,pending,65.0,5.99,2024-12-28 16:02:40.153963,,,
a9452e47-64e8-4c20-a4f8-3f8e72f2b7a7,93741726-6b68-4956-bf2e-d97a692d90b4,7478902620243,42323167379539,pending,55.0,5.99,2024-12-23 14:02:40.153963,,,
a6872f6b-b90c-42a9-969d-2ce84570c74b,6fb66f92-b518-4f69-925d-5eae5a056c0a,7375406628947,41928251801683,complete,68.0,5.99,2024-12-22 12:02:40.153963,2024-12-23 12:02:40.153963,2024-12-25 12:02:40.153963,
bad68faf-c2c2-47a3-8f14-ac3700eecd8a,b0c65884-f7ff-46b6-83db-b02266caa687,4738849669203,41222475939923,complete,55.0,5.99,2025-01-15 10:02:40.153963,2025-01-16 10:02:40.153963,2025-01-18 10:02:40.153963,
3643d7a3-1aa8-412a-8be2-c3b0730d56a3,99ae0837-55af-4979-ad4f-13b241f587e3,4738849669203,41222476005459,shipped,55.0,5.99,2024-12-31 11:02:40.153963,2025-01-01 11:02:40.153963,,
f3804dd9-7ae8-4903-a574-2f3b87874dbf,e73b385e-e4bb-4cf8-8a9e-48121c9cbdca,6789832998995,40047345696851,shipped,65.0,0.0,2024-12-18 12:02:40.153963,2024-12-19 12:02:40.153963,,
f3804dd9-7ae8-4903-a574-2f3b87874dbf,e73b385e-e4bb-4cf8-8a9e-48121c9cbdca,6789832998995,41890909454419,shipped,65.0,0.0,2024-12-18 12:02:40.153963,2024-12-19 12:02:40.153963,,
6b13d538-a97a-406f-a6ae-2b6e74f63494,7fb60765-a547-4885-99e6-3802828c9214,6789832998995,41890909454419,complete,65.0,5.99,2025-01-06 14:02:40.153963,2025-01-07 14:02:40.153963,2025-01-09 14:02:40.153963,
bd9b23d0-8f8e-45f5-866c-588e8c1235ec,2d8f6d09-3a28-40fc-9f01-f85eeff76c81,7135021924435,41778057150547,complete,65.0,0.0,2024-12-27 13:02:40.153963,2024-12-28 13:02:40.153963,2024-12-30 13:02:40.153963,
bd9b23d0-8f8e-45f5-866c-588e8c1235ec,2d8f6d09-3a28-40fc-9f01-f85eeff76c81,7135021924435,41778057543763,complete,65.0,0.0,2024-12-27 13:02:40.153963,2024-12-28 13:02:40.153963,2024-12-30 13:02:40.153963,
85a7fc15-70e2-48a3-98d8-44c9731794ed,e40c7f57-cc21-4ce4-9437-5e58f16ef854,6608541352019,39444015284307,pending,60.0,5.99,2025-01-09 11:02:40.153963,,,
5df4edc4-efd4-4d0b-bbb4-74b967f761a0,735ceab8-831a-4bae-8c89-510c490dc024,6608541352019,39444015317075,shipped,60.0,5.99,2025-01-13 12:02:40.153963,2025-01-14 12:02:40.153963,,
be075076-c0b7-4d01-b3ff-7f4466a2d020,cceac6ca-92c3-445e-95a9-ccfbf04f4a4b,7478902620243,42323167608915,pending,55.0,5.99,2025-01-10 13:02:40.153963,,,
dc79c27a-75ef-4eb2-8783-8f9d5553ffd6,9dde2f31-c019-4bc5-b037-d74f16e2b9bc,7135021924435,41778057248851,complete,65.0,5.99,2024-12-28 16:02:40.153963,2024-12-29 16:02:40.153963,2024-12-31 16:02:40.153963,
7d268c69-f9c9-4b1a-9127-14774028fa1f,8a271490-ad66-455b-b94c-e9220df50b27,6789832998995,40047345893459,complete,65.0,0.0,2025-01-14 16:02:40.153963,2025-01-15 16:02:40.153963,2025-01-17 16:02:40.153963,
7d268c69-f9c9-4b1a-9127-14774028fa1f,8a271490-ad66-455b-b94c-e9220df50b27,6608541352019,41933872332883,complete,60.0,0.0,2025-01-14 16:02:40.153963,2025-01-15 16:02:40.153963,2025-01-17 16:02:40.153963,
08840a53-dc6b-4e7a-86ce-d52df5bc8669,1f098be1-b8cd-4085-bb78-5e43f1807ccc,7478913597523,42323274334291,complete,78.0,0.0,2025-01-02 16:02:40.153963,2025-01-03 16:02:40.153963,2025-01-05 16:02:40.153963,
00756c2b-833f-419a-8f10-9fb0551a9506,efcb7789-5b4f-4562-8f53-fded4f13d151,7375546220627,41928658616403,complete,65.0,5.99,2025-01-04 12:02:40.153963,2025-01-05 12:02:40.153963,2025-01-07 12:02:40.153963,
de808421-4efc-4d12-beaa-2c3f395188b0,d39aa298-24d3-4eab-95c4-aff2b61a1cf0,7435520901203,42148269785171,shipped,45.0,5.99,2025-01-08 11:02:40.153963,2025-01-09 11:02:40.153963,,
5e38bc24-0350-4808-80d7-10a99b65bb3f,d5c7e354-e407-4f46-868d-b8f1e0f4c814,7475198918739,42309628854355,complete,68.0,0.0,2025-01-12 12:02:40.153963,2025-01-13 12:02:40.153963,2025-01-15 12:02:40.153963,
5e38bc24-0350-4808-80d7-10a99b65bb3f,d5c7e354-e407-4f46-868d-b8f1e0f4c814,7435520901203,42148269457491,complete,45.0,0.0,2025-01-12 12:02:40.153963,2025-01-13 12:02:40.153963,2025-01-15 12:02:40.153963,
7d2ecc26-aa1b-45fd-ad93-d625c8e6762f,8bbdb776-f8f2-4dff-9758-26935be5ca5b,7135021924435,41303039180883,complete,65.0,5.99,2024-12-22 10:02:40.153963,2024-12-23 10:02:40.153963,2024-12-25 10:02:40.153963,
8fd81b8b-0eb7-47c0-88bd-4314e71e08f0,2dfe2f8d-ffc4-41ae-8fd5-1666701c4079,6789832998995,40047345533011,pending,65.0,5.99,2024-12-31 00:02:40.153963,,,
03a55e7b-f2e1-473f-bc72-1c5518beec31,411f73b1-6adc-490c-8c16-934e1e1747a6,7135021924435,41778057052243,shipped,65.0,5.99,2024-12-25 14:02:40.153963,2024-12-26 14:02:40.153963,,
f3a35b9b-8d86-4f6d-b768-d706f883cb6c,42838bcf-94c7-4161-8ee2-652ea090973d,7171417768019,41427591626835,complete,65.0,0.0,2025-01-16 00:02:40.153963,2025-01-17 00:02:40.153963,2025-01-19 00:02:40.153963,
f3a35b9b-8d86-4f6d-b768-d706f883cb6c,42838bcf-94c7-4161-8ee2-652ea090973d,4738849669203,40987877572691,complete,55.0,0.0,2025-01-16 00:02:40.153963,2025-01-17 00:02:40.153963,2025-01-19 00:02:40.153963,
f3a35b9b-8d86-4f6d-b768-d706f883cb6c,42838bcf-94c7-4161-8ee2-652ea090973d,7019685511251,41010060853331,complete,55.0,0.0,2025-01-16 00:02:40.153963,2025-01-17 00:02:40.153963,2025-01-19 00:02:40.153963,
225056f9-48b8-4b7d-ade2-5bd4ccd5ecc5,84edc207-059d-444c-9501-bae55472c6d4,7233516175443,41593346031699,shipped,65.0,0.0,2025-01-10 14:02:40.153963,2025-01-11 14:02:40.153963,,
225056f9-48b8-4b7d-ade2-5bd4ccd5ecc5,84edc207-059d-444c-9501-bae55472c6d4,7478922215507,42323367952467,shipped,98.0,0.0,2025-01-10 14:02:40.153963,2025-01-11 14:02:40.153963,,
225056f9-48b8-4b7d-ade2-5bd4ccd5ecc5,84edc207-059d-444c-9501-bae55472c6d4,7135021924435,41303038853203,shipped,65.0,0.0,2025-01-10 14:02:40.153963,2025-01-11 14:02:40.153963,,
b237f984-793d-4bc2-9f94-b84b08b4deb7,bf2fed3e-143d-4f55-82e6-47a5411fba7e,7135021924435,41778057445459,complete,65.0,5.99,2025-01-05 10:02:40.153963,2025-01-06 10:02:40.153963,2025-01-08 10:02:40.153963,
0b0d9181-d9f2-43f8-8843-669f4dc1c864,896f7797-086c-4391-8d0c-1f4dffecd497,4738849669203,41222475776083,complete,55.0,5.99,2025-01-06 15:02:40.153963,2025-01-07 15:02:40.153963,2025-01-09 15:02:40.153963,
44d986a3-3e6d-447d-b981-ae62f18b8fee,da5799ca-b350-4419-a032-42cd0b2d06cf,7478922215507,42323367526483,complete,98.0,0.0,2025-01-02 10:02:40.153963,2025-01-03 10:02:40.153963,2025-01-05 10:02:40.153963,
aaa78632-8966-4ca6-8e9b-adf71fbc9175,8b456ad4-4195-4911-bae8-c4fc22d355f9,6789832998995,40047345664083,complete,65.0,5.99,2025-01-02 10:02:40.153963,2025-01-03 10:02:40.153963,2025-01-05 10:02:40.153963,
bc6605db-1a6a-457c-88e1-7f496c83ac86,40e0707a-d567-4d9c-9ea6-d89eb4454656,1363094863984,41124149264467,complete,75.0,0.0,2025-01-01 12:02:40.153963,2025-01-02 12:02:40.153963,2025-01-04 12:02:40.153963,
bc6605db-1a6a-457c-88e1-7f496c83ac86,40e0707a-d567-4d9c-9ea6-d89eb4454656,7478913597523,42323274268755,complete,78.0,0.0,2025-01-01 12:02:40.153963,2025-01-02 12:02:40.153963,2025-01-04 12:02:40.153963,
a3315834-d700-4cab-8739-c1d1cc57f09b,61ae8c12-9a31-4258-bf2c-cc5a629b747f,7171417768019,41427591692371,shipped,65.0,5.99,2024-12-23 12:02:40.153963,2024-12-24 12:02:40.153963,,
7864a15e-2703-4a41-97ef-07420e4a085e,66f501c0-dc8c-4bf4-8f99-cc97b4a4eb8a,7171417768019,41427591954515,shipped,65.0,0.0,2025-01-12 11:02:40.153963,2025-01-13 11:02:40.153963,,
