id,brand,category,name,retail_price,department,sku,distribution_center_id,cost,product_weight_g,product_length_cm,product_height_cm,product_width_cm,inventory_item_id,inventory_quantity,inventory_location
7475198918739,Pepper,Intimates,All Over Lace Lift Up Bra Bisou,68.0,Womens,BRA030BI30A,1,27.200000000000003,150.0,25.0,15.0,5.0,42309628690515,100,MAIN_WAREHOUSE
7475198918739,Pepper,Intimates,All Over Lace Lift Up Bra Bisou,68.0,Womens,BRA030BI30B,1,27.200000000000003,150.0,25.0,15.0,5.0,42309628723283,100,MAIN_WAREHOUSE
7475198918739,Pepper,Intimates,All Over Lace Lift Up Bra Bisou,68.0,Womens,BRA030BI32A,1,27.200000000000003,150.0,25.0,15.0,5.0,42309628756051,100,MAIN_WAREHOUSE
7475198918739,Pepper,Intimates,All Over Lace Lift Up Bra Bisou,68.0,Womens,BRA030BI32AA,1,27.200000000000003,150.0,25.0,15.0,5.0,42309628788819,100,MAIN_WAREHOUSE
7475198918739,Pepper,Intimates,All Over Lace Lift Up Bra Bisou,68.0,Womens,BRA030BI32B,1,27.200000000000003,150.0,25.0,15.0,5.0,42309628821587,100,MAIN_WAREHOUSE
7475198918739,Pepper,Intimates,All Over Lace Lift Up Bra Bisou,68.0,Womens,BRA030BI34A,1,27.200000000000003,150.0,25.0,15.0,5.0,42309628854355,100,MAIN_WAREHOUSE
7475198918739,Pepper,Intimates,All Over Lace Lift Up Bra Bisou,68.0,Womens,BRA030BI34AA,1,27.200000000000003,150.0,25.0,15.0,5.0,42309628887123,100,MAIN_WAREHOUSE
7475198918739,Pepper,Intimates,All Over Lace Lift Up Bra Bisou,68.0,Womens,BRA030BI34B,1,27.200000000000003,150.0,25.0,15.0,5.0,42309628919891,100,MAIN_WAREHOUSE
7475198918739,Pepper,Intimates,All Over Lace Lift Up Bra Bisou,68.0,Womens,BRA030BI36A,1,27.200000000000003,150.0,25.0,15.0,5.0,42309628952659,100,MAIN_WAREHOUSE
7475198918739,Pepper,Intimates,All Over Lace Lift Up Bra Bisou,68.0,Womens,BRA030BI36AA,1,27.200000000000003,150.0,25.0,15.0,5.0,42309628985427,100,MAIN_WAREHOUSE
7475198918739,Pepper,Intimates,All Over Lace Lift Up Bra Bisou,68.0,Womens,BRA030BI36B,1,27.200000000000003,150.0,25.0,15.0,5.0,42309629018195,100,MAIN_WAREHOUSE
7475198918739,Pepper,Intimates,All Over Lace Lift Up Bra Bisou,68.0,Womens,BRA030BI38A,1,27.200000000000003,150.0,25.0,15.0,5.0,42309629050963,100,MAIN_WAREHOUSE
7475198918739,Pepper,Intimates,All Over Lace Lift Up Bra Bisou,68.0,Womens,BRA030BI38AA,1,27.200000000000003,150.0,25.0,15.0,5.0,42309629083731,100,MAIN_WAREHOUSE
7475198918739,Pepper,Intimates,All Over Lace Lift Up Bra Bisou,68.0,Womens,BRA030BI38B,1,27.200000000000003,150.0,25.0,15.0,5.0,42309629116499,100,MAIN_WAREHOUSE
7475198918739,Pepper,Intimates,All Over Lace Lift Up Bra Bisou,68.0,Womens,BRA030BI40A,1,27.200000000000003,150.0,25.0,15.0,5.0,42309629149267,100,MAIN_WAREHOUSE
