Product Line,Band Size,A,AA,B
Lift Up,30.0,11,0,11
Lift Up,32.0,11,11,11
Lift Up,34.0,11,11,11
Lift Up,36.0,11,11,11
Lift Up,38.0,11,11,11
Lift Up,40.0,11,11,9
Lift Up,42.0,7,4,0
Signature,30.0,8,0,8
Signature,32.0,8,8,8
Signature,34.0,8,8,8
Signature,36.0,8,8,8
Signature,38.0,8,8,8
Signature,40.0,8,7,8
Signature,42.0,5,0,0
Zero-G,30.0,37,0,37
Zero-G,32.0,37,37,37
Zero-G,34.0,37,37,37
Zero-G,36.0,37,37,37
Zero-G,38.0,37,35,35
Zero-G,40.0,35,35,35
Zero-G,42.0,34,0,0
